key,decision,timestamp,reviewer,notes
raw/voices/VOiCES_devkit/distant-16k/speech/test/rm1/tele/sp1226/Lab41-SRI-VOiCES-rm1-tele-sp1226-ch141270-sg0023-mc05-stu-far-dg070.wav,Reject,2025-10-31T02:52:49+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/test/rm2/tele/sp0925/Lab41-SRI-VOiCES-rm2-tele-sp0925-ch008140-sg0000-mc05-stu-far-dg150.wav,Reject,2025-10-31T02:52:49+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/test/rm3/babb/sp4195/Lab41-SRI-VOiCES-rm3-babb-sp4195-ch186236-sg0015-mc05-stu-far-dg040.wav,Accept,2025-10-31T02:51:13+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/test/rm3/musi/sp0667/Lab41-SRI-VOiCES-rm3-musi-sp0667-ch105002-sg0034-mc05-stu-far-dg150.wav,Review,2025-10-31T02:50:33+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/test/rm3/none/sp2201/Lab41-SRI-VOiCES-rm3-none-sp2201-ch151776-sg0026-mc01-stu-clo-dg070.wav,Accept,2025-10-31T02:52:49+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/test/rm4/babb/sp4731/Lab41-SRI-VOiCES-rm4-babb-sp4731-ch095875-sg0022-mc05-stu-far-dg180.wav,Review,2025-09-19T02:23:58+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/test/rm4/tele/sp1641/Lab41-SRI-VOiCES-rm4-tele-sp1641-ch130503-sg0006-mc01-stu-clo-dg120.wav,Accept,2025-09-19T03:08:44+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/train/rm2/musi/sp0242/Lab41-SRI-VOiCES-rm2-musi-sp0242-ch122625-sg0002-mc05-stu-far-dg170.wav,Reject,2025-10-31T02:50:33+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/train/rm3/none/sp2156/Lab41-SRI-VOiCES-rm3-none-sp2156-ch017942-sg0029-mc05-stu-far-dg080.wav,Review,2025-09-19T02:23:58+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/train/rm3/tele/sp3235/Lab41-SRI-VOiCES-rm3-tele-sp3235-ch028433-sg0003-mc01-stu-clo-dg060.wav,Accept,2025-10-31T02:52:49+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/train/rm4/babb/sp0472/Lab41-SRI-VOiCES-rm4-babb-sp0472-ch129979-sg0009-mc01-stu-clo-dg180.wav,Accept,2025-09-19T22:26:17+00:00,DR,
raw/voices/VOiCES_devkit/distant-16k/speech/train/rm4/tele/sp7867/Lab41-SRI-VOiCES-rm4-tele-sp7867-ch110528-sg0013-mc01-stu-clo-dg100.wav,Accept,2025-10-31T02:51:13+00:00,DR,
raw/voices/VOiCES_devkit/source-16k/test/sp4731/Lab41-SRI-VOiCES-src-sp4731-ch095875-sg0022.wav,Accept,2025-10-31T02:52:49+00:00,DR,
